YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,GarageArea,TotalBsmtSF,GarageCars,2ndFlrSF,GrLivArea,OverallQual,SalePrice
2000,2000,8,2,962,451,936,2,830,1792,6,186500
1977,1977,5,2,1126,484,1126,2,0,1126,5,160000
2005,1962,7,1,1537,462,1319,2,0,1537,6,174000
1971,1971,5,1,864,528,864,2,0,864,4,120500
2008,2008,7,2,1932,774,1932,3,0,1932,8,394617
1996,1957,6,1,1236,923,912,2,0,1236,6,149700
1979,1979,6,2,1040,550,539,2,685,1725,7,197000
1994,1922,11,2,1423,672,588,2,748,2555,6,191000
2004,2004,3,1,848,420,848,2,0,848,6,149300
2008,2008,10,2,1026,812,1017,3,981,2007,10,310000
1950,1916,4,1,952,192,952,1,0,952,6,121000
2004,2004,7,2,1422,626,1422,2,0,1422,7,179600
1966,1966,6,1,913,240,814,1,0,913,6,129000
1962,1962,6,1,1188,312,1188,1,0,1188,5,157900
1996,1995,8,2,1220,556,1220,2,870,2090,8,240000
2000,1910,6,1,796,384,560,1,550,1346,4,112000
1970,1970,3,1,630,0,630,0,0,630,5,92000
1974,1974,8,2,896,0,896,0,896,1792,5,136000
2009,2008,7,2,1578,840,1573,3,0,1578,8,287090
2005,2005,5,1,1072,525,547,2,0,1072,5,145000
2006,2006,6,1,1140,0,1140,0,0,1140,5,84500
2005,2004,6,2,1221,400,1221,2,0,1221,7,185000
2000,1999,7,2,953,460,953,2,694,1647,6,175000
1988,1978,7,2,2073,500,1542,2,0,2073,6,210000
2006,1941,9,2,1188,252,1152,1,1152,2340,7,266500
1996,1950,5,1,1078,240,1078,1,0,1078,5,142125
1965,1965,6,1,1256,276,1256,1,0,1256,5,147500
